instance,queue_type,num_threads,exec_time
mdkp9,seq,1,44.641
mdkp9,locked_pq,1,49.851
mdkp9,locked_pq,2,33.184
mdkp9,locked_pq,4,32.037
mdkp9,locked_pq,8,56.258
mdkp9,locked_pq,12,60.591
mdkp9,locked_pq,16,59.787
mdkp9,locked_pq,24,61.754
mdkp9,mq_random,1,44.546
mdkp9,mq_random,2,22.797
mdkp9,mq_random,4,11.925
mdkp9,mq_random,8,6.877
mdkp9,mq_random,12,4.869
mdkp9,mq_random,16,4.227
mdkp9,mq_random,24,3.425
mdkp9,mq_random_strict,1,43.387
mdkp9,mq_random_strict,2,22.862
mdkp9,mq_random_strict,4,11.939
mdkp9,mq_random_strict,8,6.912
mdkp9,mq_random_strict,12,4.962
mdkp9,mq_random_strict,16,4.278
mdkp9,mq_random_strict,24,3.510
mdkp9,mq_stick_random,1,46.103
mdkp9,mq_stick_random,2,23.833
mdkp9,mq_stick_random,4,12.102
mdkp9,mq_stick_random,8,6.585
mdkp9,mq_stick_random,12,4.646
mdkp9,mq_stick_random,16,4.039
mdkp9,mq_stick_random,24,3.339
mdkp9,mq_stick_swap,1,46.104
mdkp9,mq_stick_swap,2,23.789
mdkp9,mq_stick_swap,4,12.171
mdkp9,mq_stick_swap,8,6.544
mdkp9,mq_stick_swap,12,4.533
mdkp9,mq_stick_swap,16,4.062
mdkp9,mq_stick_swap,24,3.331
mdkp9,mq_stick_mark,1,47.102
mdkp9,mq_stick_mark,2,23.894
mdkp9,mq_stick_mark,4,12.306
mdkp9,mq_stick_mark,8,6.784
mdkp9,mq_stick_mark,12,4.737
mdkp9,mq_stick_mark,16,4.177
mdkp9,mq_stick_mark,24,3.380